# BL Grating exposure times
# Wave	     cont     fear	thar	dome
4590	     3.5      40	45	75
4765	     3.5      30	45	50
4960	     2.8      30	45	50
5050	     2.5      40	65	50
5167	     2	      50	80	50
5400	     2	      60	80	50



