# BM Grating exposure times
# Updated 170411 with dome flat exposure times 
# Wave	     cont     fear	thar	dome
3600	     1.4      30	70	75.0
3900	     1.4      30	70	30.0
4000	     1.2      25	55	20.0
4400	     0.8      20	40	20.0
4800	     0.6      15	30	19.0
5100	     0.6      15	30	18.0
5300	     0.6      15	30	18.0
5500	     0.5      20	30	18.0


